published,title,summary,link,source
2025-07-25 11:19:33,Clarithromycin Prices Set to Surge in July 2025 Amid Global Supply Chain Disruptions and Rising Demand - ChemAnalyst,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxNU0YzWTk5T1dwNC1wQkZFeGJlVi16UGN3aVdLR1ktUm5Rc3VwMXFPZ3NWanB4UDdhLUNpd2ZmVnRPaWhmQzl0d2VLNmdOUjBadC1Sak5PUUdReUp3ZjdCNzlsX0MtemtvOG9rdm1kS24xNEwwM21sclhjTmpuclh1OW9KYXpDM1UyN1JNUGJ2dENhZjhRS3duTVB3SDMtMkFYV2REeW9INHY3bmx5NTFvM1JOVG84RmZXWkVZMnVNX1pKcWpvY2cyX1RWRQ?oc=5"" target=""_blank"">Clarithromycin Prices Set to Surge in July 2025 Amid Global Supply Chain Disruptions and Rising Demand</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ChemAnalyst</font>",https://news.google.com/rss/articles/CBMiywFBVV95cUxNU0YzWTk5T1dwNC1wQkZFeGJlVi16UGN3aVdLR1ktUm5Rc3VwMXFPZ3NWanB4UDdhLUNpd2ZmVnRPaWhmQzl0d2VLNmdOUjBadC1Sak5PUUdReUp3ZjdCNzlsX0MtemtvOG9rdm1kS24xNEwwM21sclhjTmpuclh1OW9KYXpDM1UyN1JNUGJ2dENhZjhRS3duTVB3SDMtMkFYV2REeW9INHY3bmx5NTFvM1JOVG84RmZXWkVZMnVNX1pKcWpvY2cyX1RWRQ?oc=5,ChemAnalyst
2025-03-28 07:00:00,The Biggest Global Supply Chain Risks of 2025 - Xeneta,"<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTE5JT3Q4TmpSb3UxaTJBcnNkX1p4WUdtYXkzb0dsS0luUWU5Wk5TUzRrdVpJbUM5WE5SZ2hRM0tHNFVGWnVvVWhRUEpfLThxQUNKQXY1eVBiTkRHVHlrdklWMW9vdVliR1BoRWhtYkNfcW9rSFZOQ0lvMHZqZnVvUQ?oc=5"" target=""_blank"">The Biggest Global Supply Chain Risks of 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Xeneta</font>",https://news.google.com/rss/articles/CBMifkFVX3lxTE5JT3Q4TmpSb3UxaTJBcnNkX1p4WUdtYXkzb0dsS0luUWU5Wk5TUzRrdVpJbUM5WE5SZ2hRM0tHNFVGWnVvVWhRUEpfLThxQUNKQXY1eVBiTkRHVHlrdklWMW9vdVliR1BoRWhtYkNfcW9rSFZOQ0lvMHZqZnVvUQ?oc=5,Xeneta
2025-04-12 06:28:27,"Investigating the mediating roles of inventory management and supply chain disruption factors in logistics performance – An evidence from the construction industry from Coastal Karnataka, India - ScienceDirect.com","<a href=""https://news.google.com/rss/articles/CBMidkFVX3lxTFBHN3ZXTmVMelIwMnJNc05ZUUVRVjVUMkNfODVRdmJhMDFubmJsNFRTU1FjMkFRYko4ZWpJSjFYWDdiamNYRzh1T3RDei1sU3JYeEpHYlU5MnN3NDhtU2MwNzJHOV92c1YxZjZoTmVMb3hjR2ZXemc?oc=5"" target=""_blank"">Investigating the mediating roles of inventory management and supply chain disruption factors in logistics performance – An evidence from the construction industry from Coastal Karnataka, India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ScienceDirect.com</font>",https://news.google.com/rss/articles/CBMidkFVX3lxTFBHN3ZXTmVMelIwMnJNc05ZUUVRVjVUMkNfODVRdmJhMDFubmJsNFRTU1FjMkFRYko4ZWpJSjFYWDdiamNYRzh1T3RDei1sU3JYeEpHYlU5MnN3NDhtU2MwNzJHOV92c1YxZjZoTmVMb3hjR2ZXemc?oc=5,ScienceDirect.com
2025-06-24 07:00:00,Middle East Supply Chain Disruption 2025: A Guide - Gartner,"<a href=""https://news.google.com/rss/articles/CBMie0FVX3lxTE0xbFNDUEs5bUhlTWlFM0t2SlBXWVlwa29veEtpTG9VSnNLZkp4UXVKdnpBZnBGdkVXMzBUMUpOYXVwQ1EweGgwMS1zbDJtR0o2UzlaTVN3Z2FYcTJ2OXpkNmY5aWFZWXpMVldtZzdJcFZBMWdDaF9NWGNGVQ?oc=5"" target=""_blank"">Middle East Supply Chain Disruption 2025: A Guide</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Gartner</font>",https://news.google.com/rss/articles/CBMie0FVX3lxTE0xbFNDUEs5bUhlTWlFM0t2SlBXWVlwa29veEtpTG9VSnNLZkp4UXVKdnpBZnBGdkVXMzBUMUpOYXVwQ1EweGgwMS1zbDJtR0o2UzlaTVN3Z2FYcTJ2OXpkNmY5aWFZWXpMVldtZzdJcFZBMWdDaF9NWGNGVQ?oc=5,Gartner
2025-07-10 13:58:08,Managing supply chain disruption - Dentons,"<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxQZ1ZEZGlJbGhaRm5EdGRvaDZYc0Q1c2llNnpCX0d6MmVYbjAxdVhGRFRaY1NZNXg5OTZyRjBoWlh0ekJFSjhOcC0xNlRQcko2bGhYLUlXZDlsc2c1TlhfVmNSSkpaRWo0TUZTMnBlMi15QkJmRXZEUmYxbWEwbE9UZDR0N1hucXB1WVkzeS1nRjhJakdF?oc=5"" target=""_blank"">Managing supply chain disruption</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dentons</font>",https://news.google.com/rss/articles/CBMilAFBVV95cUxQZ1ZEZGlJbGhaRm5EdGRvaDZYc0Q1c2llNnpCX0d6MmVYbjAxdVhGRFRaY1NZNXg5OTZyRjBoWlh0ekJFSjhOcC0xNlRQcko2bGhYLUlXZDlsc2c1TlhfVmNSSkpaRWo0TUZTMnBlMi15QkJmRXZEUmYxbWEwbE9UZDR0N1hucXB1WVkzeS1nRjhJakdF?oc=5,Dentons
2025-02-26 08:00:00,India must seize global supply chain disruption as opportunity: Amitabh Kant - The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxObjdSQzQ3M29lMElOMF9aeHpMbkc4TlhyVm9jdzJkZU9hZG5ram5wRUR0cklMSWliNll6a1Zad1BaNjFhWF9zbVNsa0hjVkh1VVlJS2lZVVI5ejVpQ042YUJOZmNUMWEzcGdDUVJnV2N1dEZsTk41QXdnN2wyckRIbG5xa3UyX0VvVmNQeWJmVE1LWHVqbDNub09VcjB2eXdyMDlBcFJwUHlGOHoyQnVKMEVHX0h0bjZITEpHOGxwYXFRbk5hb1NrZmJ1ak80Q1pIN0ZrUG10b9IB3AFBVV95cUxPVXp3QV92LUxJMmFpTGxObEtYcDgyZ3dDZlN5Zk9Wc0huSDBncHNPN283OVU0dlRxN1lmS1NIcHVrS216bXZXMzNfbTQzRXhOSURmSVNiOUxQSDhfQlhGLTl3U1IxSldTYzNvMmxJbTEySzRYdnR2WUlmZGtqTjN4VmFDdWR0WF96ZEZiZTYtYUN6UjJ1Z1dCSXBOMnFvanh0SC1aQ0dnN3pkQmFiSWhqR0JSNURRVkxwMjNKNkgxejRUa0sxMGttT0R1MG5tTEd1MXpxajVTU1NxbndK?oc=5"" target=""_blank"">India must seize global supply chain disruption as opportunity: Amitabh Kant</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",https://news.google.com/rss/articles/CBMi1wFBVV95cUxObjdSQzQ3M29lMElOMF9aeHpMbkc4TlhyVm9jdzJkZU9hZG5ram5wRUR0cklMSWliNll6a1Zad1BaNjFhWF9zbVNsa0hjVkh1VVlJS2lZVVI5ejVpQ042YUJOZmNUMWEzcGdDUVJnV2N1dEZsTk41QXdnN2wyckRIbG5xa3UyX0VvVmNQeWJmVE1LWHVqbDNub09VcjB2eXdyMDlBcFJwUHlGOHoyQnVKMEVHX0h0bjZITEpHOGxwYXFRbk5hb1NrZmJ1ak80Q1pIN0ZrUG10b9IB3AFBVV95cUxPVXp3QV92LUxJMmFpTGxObEtYcDgyZ3dDZlN5Zk9Wc0huSDBncHNPN283OVU0dlRxN1lmS1NIcHVrS216bXZXMzNfbTQzRXhOSURmSVNiOUxQSDhfQlhGLTl3U1IxSldTYzNvMmxJbTEySzRYdnR2WUlmZGtqTjN4VmFDdWR0WF96ZEZiZTYtYUN6UjJ1Z1dCSXBOMnFvanh0SC1aQ0dnN3pkQmFiSWhqR0JSNURRVkxwMjNKNkgxejRUa0sxMGttT0R1MG5tTEd1MXpxajVTU1NxbndK?oc=5,The Economic Times
2025-04-25 07:00:00,"Supply Chain Disruptions: How They Happen, Industries Affected, and How to Manage - Inbound Logistics","<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxNam5ucEdmRjdydGxfeE1Sc2w3YkVqbWd6dVFIdlptTzNQS0pWWHFtY0tHQXVqYnIwTnJWX3ZlNFlmSnNMbTF0QTJqajdqZTZZQ25uUnE0OW95Q2sxalo1ZlIzTnVRYURDeFplX0FGcUZJbllTY3ZjTzNkRTFhZWlnQW12R0Y3aS00RjF6LWc1WG51cWVlZ3VmZUhTTk1kTGVUeW5ZVTRRUG1aSEJZNjAxZllWelVJUnJraDM3RXJ3?oc=5"" target=""_blank"">Supply Chain Disruptions: How They Happen, Industries Affected, and How to Manage</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Inbound Logistics</font>",https://news.google.com/rss/articles/CBMivgFBVV95cUxNam5ucEdmRjdydGxfeE1Sc2w3YkVqbWd6dVFIdlptTzNQS0pWWHFtY0tHQXVqYnIwTnJWX3ZlNFlmSnNMbTF0QTJqajdqZTZZQ25uUnE0OW95Q2sxalo1ZlIzTnVRYURDeFplX0FGcUZJbllTY3ZjTzNkRTFhZWlnQW12R0Y3aS00RjF6LWc1WG51cWVlZ3VmZUhTTk1kTGVUeW5ZVTRRUG1aSEJZNjAxZllWelVJUnJraDM3RXJ3?oc=5,Inbound Logistics
2025-07-18 05:55:16,Outsmart Disruption with AI: Three Strategies for Supply Chain Resilience - Supply Chain Brain,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxQUWdubmo4NEJUWVNhdE52RldIQ0Q4TzQ1LW9UU01XX2pnTHZ1Z05qcHlpN0F0dEp5WHJOenFqRGFSRW1QWU5FbnluNlhFSlJTbmsxYWpmUnNJcnU4OEU2aW85ZU9FQWRBdGRLeTk0R1d4aWQwWlFnSmJld003TGRsblk4eXFiT1hMR2ZqYU9IUTlWTGdCZW5kRXdnQWJtWTBPLUhNeHpaWXFKQmpjcFRnaUtzSW91ekFKcDg2aXNsdlhwWTBXTWkzeFV0MkhUV3hD?oc=5"" target=""_blank"">Outsmart Disruption with AI: Three Strategies for Supply Chain Resilience</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Supply Chain Brain</font>",https://news.google.com/rss/articles/CBMi0AFBVV95cUxQUWdubmo4NEJUWVNhdE52RldIQ0Q4TzQ1LW9UU01XX2pnTHZ1Z05qcHlpN0F0dEp5WHJOenFqRGFSRW1QWU5FbnluNlhFSlJTbmsxYWpmUnNJcnU4OEU2aW85ZU9FQWRBdGRLeTk0R1d4aWQwWlFnSmJld003TGRsblk4eXFiT1hMR2ZqYU9IUTlWTGdCZW5kRXdnQWJtWTBPLUhNeHpaWXFKQmpjcFRnaUtzSW91ekFKcDg2aXNsdlhwWTBXTWkzeFV0MkhUV3hD?oc=5,Supply Chain Brain
2025-01-09 08:00:00,Leveraging digital tools in the age of supply chain disruption - The World Economic Forum,"<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxOSHktR1U0UHhKSzg3dE8wWmJxcDZNZFhuNWhfWTUzd1paanE4SjhKN2dfWjZDMFUwbU1PX2wtRjlCeDg1VEdGRVhYUlNRUGR4TlRJTktXYTF6b3BQeU1aNGdVRlZiT2RweUg4VjNSXzVYYnJWa1NVdlhrU3UxbzFlem84QVJWdUp3bU1fcWs5ZG4?oc=5"" target=""_blank"">Leveraging digital tools in the age of supply chain disruption</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The World Economic Forum</font>",https://news.google.com/rss/articles/CBMikAFBVV95cUxOSHktR1U0UHhKSzg3dE8wWmJxcDZNZFhuNWhfWTUzd1paanE4SjhKN2dfWjZDMFUwbU1PX2wtRjlCeDg1VEdGRVhYUlNRUGR4TlRJTktXYTF6b3BQeU1aNGdVRlZiT2RweUg4VjNSXzVYYnJWa1NVdlhrU3UxbzFlem84QVJWdUp3bU1fcWs5ZG4?oc=5,The World Economic Forum
2025-03-17 07:00:00,Supply Chain Disruption 2025: A Perfect Storm Looms - solutionsreview.com,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxQcEM2MVZES3FmeDhvZlNaWHN5czNsVENldmtkYlctbUdZRXhld0N3ejdQN1NUVXVTQWVEY1gxTmFfYTU1ZDhIMGgweWdIYkhMQkNrTXFRdnQ5eXFNZjJ5VVI0ZHpQNXRMOVhBOXQzeUpoWkNNX0wxVWJrUEdQN1VBNU1idnUyZG1vRG1YRzFaNk5YODl2QlJ2WjhKcjJNVWhhajRCcnRRaDlkY2ly?oc=5"" target=""_blank"">Supply Chain Disruption 2025: A Perfect Storm Looms</a>&nbsp;&nbsp;<font color=""#6f6f6f"">solutionsreview.com</font>",https://news.google.com/rss/articles/CBMirAFBVV95cUxQcEM2MVZES3FmeDhvZlNaWHN5czNsVENldmtkYlctbUdZRXhld0N3ejdQN1NUVXVTQWVEY1gxTmFfYTU1ZDhIMGgweWdIYkhMQkNrTXFRdnQ5eXFNZjJ5VVI0ZHpQNXRMOVhBOXQzeUpoWkNNX0wxVWJrUEdQN1VBNU1idnUyZG1vRG1YRzFaNk5YODl2QlJ2WjhKcjJNVWhhajRCcnRRaDlkY2ly?oc=5,solutionsreview.com
